if,while,return,char,statement,break,Identifier,factor,int,void,else,string,IntegerNumber,float,bool,e
381,711,1038,-,-,1364,-,-,-,-,-,-,-,-,-,4
-,-,-,-,-,-,-,-,-,-,-,-,45,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,88,-,-,2
-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,45
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7
-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,5
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,803
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,324
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,167
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,156
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,185
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22
-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29
-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38
-,-,-,-,-,-,-,39,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,425
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,443
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45
-,-,-,-,-,-,-,46,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,473
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,536
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,565
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,72
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63
-,-,-,-,-,-,-,64,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,72
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70
-,-,-,-,-,-,-,71,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79
