e,!,!=,#,&,(,),*,+,",",-,/,<,<=,=,==,>,>=,Character,Constant-String,Float-Number,Function,Identifier,Integer-Number,[,],factor,false,true,|
1,-,[15],-,-,-,-,-,-,-,-,[305],-,-,-,-,-,-,-,-,-,-,-,[5],-,-,-,[22],-,-,-
3,-,[15],-,-,-,-,-,-,-,-,[305],-,-,-,-,-,-,-,-,-,-,-,[5],-,-,-,[22],-,-,-
5,-,-,-,-,-,-,-,"[42, 402]",-,-,[501],"[43, 403]",-,-,[10],-,-,-,-,-,-,-,-,-,[7],-,-,-,-,-
7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[8],-,-,-,-,-,-
8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[9],-,-,-,-
10,-,[15],-,-,-,-,-,-,-,-,[305],-,-,-,-,-,-,-,-,-,-,-,[5],-,-,-,[22],-,-,-
12,-,-,-,-,-,-,[324],-,-,-,[116],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[117],-,-,[168]
14,-,[15],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[22],-,-,-
16,-,-,-,-,[90],-,[324],-,-,-,[165],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[166],-,-,[168]
18,-,-,[56],[57],[90],-,[324],[182],[33],-,[165],[183],[53],[54],[50],[55],[51],[52],-,-,-,-,-,-,-,-,[166],-,-,[168]
20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[22],-,-,-
21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[22],-,-,-
23,-,-,[56],[57],[90],-,[324],[182],[33],-,[236],[183],[53],[54],[50],[55],[51],[52],-,-,-,-,-,-,-,-,[237],-,-,[168]
25,-,-,-,-,-,-,-,-,-,-,"[29, 281]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[30],-,-,-
27,-,-,[56],[57],[90],-,[324],[182],[33],-,[236],[183],[53],[54],[50],[55],[51],[52],-,-,-,-,-,-,-,-,[237],-,-,[168]
29,-,-,-,-,-,-,-,-,-,-,"[29, 281]",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[30],-,-,-
31,-,-,[56],[57],[90],-,[324],-,[33],-,[165],-,[53],[54],[50],[55],[51],[52],-,-,-,-,-,-,-,-,[166],-,-,[168]
33,-,-,-,-,-,-,-,-,-,-,[38],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[39],-,-,-
35,-,[351],[56],[57],[90],-,[324],-,[33],-,[357],-,[53],[54],[50],[55],[51],[52],-,-,-,-,-,-,-,-,[358],-,-,[168]
37,-,-,-,-,-,-,-,-,-,-,[38],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[39],-,-,-
39,-,[351],[56],[57],[90],-,[324],-,[33],-,[357],-,[53],[54],[50],[55],[51],[52],-,-,-,-,-,-,-,-,[358],-,-,[168]
41,-,-,-,-,-,-,-,-,-,-,[46],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[47],-,-,-
43,-,-,-,-,-,-,-,-,-,-,[46],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[47],-,-,-
45,-,-,-,-,-,-,-,-,-,-,[46],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[47],-,-,-
