e,!,!=,#,&,(,),*,+,",",-,/,;,<,<=,=,==,>,>=,Identifier,Integer-Number,[,],bool,break,char,else,factor,float,if,int,return,statement,string,void,while,{,|,}
0,-,[16],-,-,-,-,-,-,-,-,[22],-,[325],-,-,-,-,-,-,[6],-,-,-,-,[1364],-,-,[23],-,[381],-,[1038],-,-,-,[711],[327],-,-
(1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,-,-,-,-,-,-,-,-,-,-,-,-,[325],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,-,-,-,-,-,-,-,[302],-,-,-,[303],[325],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,-,[16],-,-,-,-,-,-,-,-,[22],-,-,-,-,-,-,-,-,[6],-,-,-,-,-,-,-,[23],-,-,-,-,-,-,-,-,-,-,-
5,-,-,-,-,-,-,-,-,-,-,[625],-,-,-,-,[11],-,-,-,-,-,-,-,-,-,-,-,[626],-,-,-,-,-,-,-,-,-,-,-
6,-,-,-,-,-,-,-,-,-,-,[625],-,-,-,-,[11],-,-,-,-,-,[8],-,-,-,-,-,[626],-,-,-,-,-,-,-,-,-,-,-
7,-,-,-,-,-,-,-,-,-,-,[625],-,-,-,-,[11],-,-,-,-,-,-,-,-,-,-,-,[626],-,-,-,-,-,-,-,-,-,-,-
8,-,-,-,-,[801],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[9],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,-,-,-,-,[91],-,-,-,-,-,[906],-,-,-,-,-,-,-,-,-,-,-,[10],-,-,-,-,[907],-,-,-,-,-,-,-,-,-,-,-
10,-,-,-,-,-,-,-,-,-,-,[625],-,-,-,-,[11],-,-,-,-,-,-,-,-,-,-,-,[626],-,-,-,-,-,-,-,-,-,-,-
11,-,[16],-,-,-,-,-,-,[112],-,[22],-,-,-,-,-,-,-,-,[6],-,-,-,-,-,-,-,[23],-,-,-,-,-,-,-,-,-,-,-
12,-,-,-,-,-,-,-,[302],-,-,[1366],[303],[325],-,-,-,-,-,-,-,-,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,-,-
13,-,-,-,-,-,-,-,[302],-,-,[1366],[303],[325],-,-,-,-,-,-,-,-,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,[169],-
14,-,-,-,-,-,-,-,[302],-,-,[1366],[303],[325],-,-,-,-,-,-,-,-,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,[169],-
15,-,[16],-,-,-,-,-,-,-,-,[22],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[23],-,-,-,-,-,-,-,-,-,-,-
16,-,[16],-,-,-,-,-,[162],-,-,[22],[163],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[23],-,-,-,-,-,-,-,-,-,-,-
17,-,-,-,-,-,-,-,[302],-,-,[1366],[303],[325],-,-,-,-,-,-,-,-,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,[169],-
18,-,-,[57],[58],-,-,-,[302],[492],-,[1366],[303],[325],[54],[55],[51],[56],[52],[53],-,-,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,[169],-
19,-,-,[57],[58],-,-,-,[302],[492],-,[1366],[303],[325],[54],[55],[51],[56],[52],[53],-,-,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,[169],-
20,-,-,[57],[58],-,-,-,[302],[492],-,[245],[303],[325],[54],[55],[51],[56],[52],[53],-,-,-,-,-,-,-,-,[246],-,-,-,-,-,-,-,-,-,[169],-
21,-,-,-,-,-,-,-,-,-,-,[22],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[23],-,-,-,-,-,-,-,-,-,-,-
22,-,-,-,-,-,-,-,-,-,-,[22],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[23],-,-,-,-,-,-,-,-,-,-,-
23,-,-,[57],[58],-,-,-,[302],[492],-,[245],[303],[325],[54],[55],[51],[56],[52],[53],-,-,-,-,-,-,-,-,[246],-,-,-,-,-,-,-,-,-,[169],-
24,-,-,[57],[58],-,-,-,[302],[492],-,[245],[303],[325],[54],[55],[51],[56],[52],[53],-,-,-,-,-,-,-,-,[246],-,-,-,-,-,-,-,-,-,[169],-
25,-,[251],-,-,-,-,-,-,-,-,[257],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[258],-,-,-,-,-,-,-,-,-,-,-
26,-,[251],-,-,-,-,-,-,-,-,[265],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[266],-,-,-,-,-,-,-,-,-,-,-
27,-,[251],-,-,-,-,-,-,-,-,[257],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[258],-,-,-,-,-,-,-,-,-,-,-
28,-,-,[57],[58],-,-,-,[302],[492],-,[245],[303],[325],[54],[55],[51],[56],[52],[53],-,-,-,-,-,-,-,-,[246],-,-,-,-,-,-,-,-,-,[169],-
29,-,-,-,-,-,-,-,-,-,-,[30],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[31],-,-,-,-,-,-,-,-,-,-,-
30,-,-,-,-,-,-,-,-,-,-,[30],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[31],-,-,-,-,-,-,-,-,-,-,-
31,-,-,[57],[58],-,-,-,[302],[492],-,[245],[303],[325],[54],[55],[51],[56],[52],[53],-,-,-,-,-,-,-,-,[246],-,-,-,-,-,-,-,-,-,[169],-
32,-,-,[57],[58],-,-,-,[302],[492],-,[1366],[303],[325],[54],[55],[51],[56],[52],[53],-,-,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,[169],-
33,-,-,-,-,-,-,-,-,-,-,[39],-,-,-,-,-,-,-,-,[339],-,-,-,-,-,-,-,[40],-,-,-,-,-,-,-,-,-,-,-
34,-,-,-,-,-,-,-,-,-,-,[39],-,-,-,-,-,-,-,-,[339],-,-,-,-,-,-,-,[40],-,-,-,-,-,-,-,-,-,-,-
35,-,-,-,-,-,-,-,-,-,-,[39],-,-,-,-,-,-,-,-,[339],-,-,[351],-,-,-,-,[40],-,-,-,-,-,-,-,-,-,-,-
36,-,-,[57],[58],-,-,-,[302],[492],-,[1366],[303],[325],[54],[55],[51],[56],[52],[53],[363],-,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,[169],-
37,-,-,[57],[58],-,-,-,[302],[492],-,[1366],[303],[325],[54],[55],[51],[56],[52],[53],[363],-,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,[169],-
38,-,-,-,-,-,-,-,-,-,-,[39],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[40],-,-,-,-,-,-,-,-,-,-,-
39,-,-,-,-,-,-,-,-,-,-,[39],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[40],-,-,-,-,-,-,-,-,-,-,-
40,-,-,[57],[58],-,-,-,[302],[492],-,[1366],[303],[325],[54],[55],[51],[56],[52],[53],[363],-,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,[169],-
