e,(,),",",;,Function,Identifier,Integer-Number,[,],begin,bool,char,end,float,int,statement,string,void
0,-,-,-,-,-,-,-,-,-,-,[1],-,-,-,-,-,-,-,-
1,-,-,-,-,-,-,-,-,-,-,-,[231],[232],-,[227],[228],-,[229],[230]
3,-,-,-,-,[114],-,-,-,-,-,-,[207],[208],[226],[203],[204],-,[205],[206]
5,-,-,-,-,-,-,[13],-,-,[41],-,-,-,-,-,-,-,-,-
13,-,-,-,[19],[114],-,-,-,[15],-,-,[207],[208],[226],[203],[204],-,[205],[206]
15,-,-,-,-,-,-,-,[16],[152],-,-,-,-,-,-,-,-,-,-
16,-,-,-,-,-,-,-,-,-,[17],-,-,-,-,-,-,-,-,-
17,-,-,-,[19],[114],-,-,-,-,-,-,[207],[208],[226],[203],[204],-,[205],[206]
19,-,-,-,-,-,-,[21],-,-,-,-,-,-,-,-,-,-,-,-
21,-,-,-,[19],[114],-,-,-,[23],-,-,[207],[208],[226],[203],[204],-,[205],[206]
23,-,-,-,-,-,-,-,[24],-,-,-,-,-,-,-,-,-,-,-
24,-,-,-,-,-,-,-,-,-,[25],-,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,-,-,[33],-,-,-,-,-,-,-,-,-,-
33,-,-,-,-,-,-,-,-,-,[34],-,-,-,-,-,-,-,-,-
34,-,-,-,-,-,-,[37],-,-,-,-,-,-,-,-,-,-,-,-
36,-,-,-,[43],[50],-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,-,-,-,[43],[50],-,-,-,[39],-,-,-,-,-,-,-,-,-,-
39,-,-,-,-,-,-,-,[40],-,-,-,-,-,-,-,-,-,-,-
40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,-,-,-,-,-,-,[45],-,-,-,-,-,-,-,-,-,-,-,-
45,-,-,-,[43],[50],-,-,-,[47],-,-,-,-,-,-,-,-,-,-
47,-,-,-,-,-,-,-,[48],-,-,-,-,-,-,-,-,-,-,-
48,-,-,-,-,-,-,-,-,-,[49],-,-,-,-,-,-,-,-,-
52,-,-,-,-,-,[59],-,-,-,-,-,-,-,-,-,-,-,-,-
59,-,[60],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,-,-,[111],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
64,-,-,-,-,-,-,[73],-,-,-,-,-,-,-,-,-,-,-,-
72,-,-,[111],[79],[87],-,-,-,-,-,-,-,-,-,-,-,-,-,-
73,-,-,[111],[79],[87],-,-,-,[75],-,-,-,-,-,-,-,-,-,-
75,-,-,-,-,-,-,-,[76],-,-,-,-,-,-,-,-,-,-,-
76,-,-,-,-,-,-,-,-,-,[77],-,-,-,-,-,-,-,-,-
79,-,-,-,-,-,-,[81],-,-,-,-,-,-,-,-,-,-,-,-
81,-,-,[111],[79],[87],-,-,-,[83],-,-,-,-,-,-,-,-,-,-
83,-,-,-,-,-,-,-,[84],-,-,-,-,-,-,-,-,-,-,-
84,-,-,-,-,-,-,-,-,-,[85],-,-,-,-,-,-,-,-,-
87,-,-,-,-,-,-,-,-,-,-,-,[94],[95],-,[90],[91],-,[92],[93]
89,-,-,-,-,-,-,[98],-,-,-,-,-,-,-,-,-,-,-,-
97,-,-,[111],[104],[87],-,-,-,-,-,-,-,-,-,-,-,-,-,-
98,-,-,[111],[104],[87],-,-,-,[100],-,-,-,-,-,-,-,-,-,-
100,-,-,-,-,-,-,-,[101],-,-,-,-,-,-,-,-,-,-,-
101,-,-,-,-,-,-,-,-,-,[102],-,-,-,-,-,-,-,-,-
104,-,-,-,-,-,-,[106],-,-,-,-,-,-,-,-,-,-,-,-
