e,!,!=,#,&,(,),*,+,",",-,/,;,<,<=,=,==,>,>=,Identifier,Integer-Number,[,],bool,break,char,else,factor,float,if,int,return,statement,string,void,while,{,|,}
0,-,[16],-,-,-,-,-,-,-,-,[22],-,[325],-,-,-,-,-,-,[6],-,-,-,-,[1364],-,-,[23],-,[381],-,[1038],-,-,-,[711],[327],-,-
2,-,-,-,-,-,-,-,-,-,-,-,-,[325],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,-,[16],-,-,-,-,-,-,-,-,[22],-,-,-,-,-,-,-,-,[6],-,-,-,-,-,-,-,[23],-,-,-,-,-,-,-,-,-,-,-
6,-,-,-,-,-,-,-,-,-,-,[625],-,-,-,-,[11],-,-,-,-,-,[8],-,-,-,-,-,[626],-,-,-,-,-,-,-,-,-,-,-
8,-,-,-,-,[801],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[9],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,-,-,-,-,[91],-,-,-,-,-,[906],-,-,-,-,-,-,-,-,-,-,-,[10],-,-,-,-,[907],-,-,-,-,-,-,-,-,-,-,-
10,-,-,-,-,-,-,-,-,-,-,[625],-,-,-,-,[11],-,-,-,-,-,-,-,-,-,-,-,[626],-,-,-,-,-,-,-,-,-,-,-
11,-,[16],-,-,-,-,-,-,[112],-,[22],-,-,-,-,-,-,-,-,[6],-,-,-,-,-,-,-,[23],-,-,-,-,-,-,-,-,-,-,-
13,-,-,-,-,-,-,-,[302],-,-,[1366],[303],[325],-,-,-,-,-,-,-,-,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,[169],-
15,-,[16],-,-,-,-,-,-,-,-,[22],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[23],-,-,-,-,-,-,-,-,-,-,-
16,-,[16],-,-,-,-,-,[162],-,-,[22],[163],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[23],-,-,-,-,-,-,-,-,-,-,-
