ConstantString,true,Identifier,false,Character,Function,FloatNumber,factor,IntegerNumber,e
-,668,326,669,667,332,-,-,-,-
-,-,-,-,-,-,-,-,4,105
-,-,5,-,-,-,-,-,42,15
-,-,-,-,-,-,-,-,-,6
66,-,-,-,-,-,64,-,63,4
-,-,-,-,-,-,-,-,-,85
-,-,-,-,-,-,-,-,-,6
-,-,-,-,-,-,-,-,-,3
-,-,-,-,-,-,-,-,-,2
-,-,-,-,-,-,-,-,-,323
-,-,-,-,-,-,-,-,-,166
-,-,-,-,-,-,-,-,-,15
-,-,-,-,-,-,-,-,-,21
-,-,-,-,-,-,-,-,-,13
-,-,-,-,-,-,-,-,-,48
-,-,-,-,-,-,-,-,-,47
-,-,-,-,-,-,-,-,-,30
-,-,-,-,-,-,-,-,-,21
-,-,-,-,-,-,-,22,-,-
-,-,-,-,-,-,-,-,-,225
-,-,-,-,-,-,-,-,-,28
-,-,-,-,-,-,-,-,-,23
-,-,-,-,-,-,-,-,-,23
-,-,-,-,-,-,-,-,-,30
-,-,-,-,-,-,-,-,-,28
-,-,-,-,-,-,-,29,-,-
-,-,-,-,-,-,-,-,-,26
-,-,-,-,-,-,-,-,-,18
-,-,-,-,-,-,-,-,-,37
-,-,-,-,-,-,-,-,-,31
-,-,-,-,-,-,-,-,-,31
-,-,-,-,-,-,-,-,-,47
-,-,-,-,-,-,-,-,-,356
-,-,-,-,-,-,-,-,-,37
-,-,-,-,-,-,-,38,-,-
-,-,-,-,-,-,-,-,-,35
-,-,-,-,-,-,-,-,-,44
-,-,-,-,-,-,-,-,-,39
-,-,-,-,-,-,-,-,-,39
-,-,-,-,-,-,-,-,-,46
-,-,-,-,-,-,-,-,-,44
-,-,-,-,-,-,-,45,-,-
-,-,-,-,-,-,-,-,-,42
-,-,-,-,-,-,-,-,-,34
-,-,-,-,-,-,-,-,-,17
-,-,-,-,-,-,-,-,-,16
-,-,-,-,-,-,-,-,-,62
-,-,-,-,-,-,-,-,-,49
-,-,-,-,-,-,-,-,-,49
-,-,-,-,-,-,-,-,-,49
-,-,-,-,-,-,-,-,-,535
-,-,-,-,-,-,-,-,-,553
-,-,-,-,-,-,-,-,-,49
-,-,-,-,-,-,-,-,-,49
-,-,-,-,-,-,-,-,-,49
-,-,-,-,-,-,-,-,-,583
-,-,-,-,-,-,-,-,-,88
-,-,-,-,-,-,-,-,-,71
-,-,-,-,-,-,-,-,-,62
-,-,-,-,-,-,-,63,-,-
-,-,-,-,-,-,-,-,-,60
-,-,-,-,-,-,-,-,-,646
-,-,-,-,-,-,-,-,-,64
-,-,-,-,-,-,-,-,-,64
-,-,-,-,-,-,-,-,-,71
-,-,-,-,-,-,-,-,-,69
-,-,-,-,-,-,-,70,-,-
-,-,-,-,-,-,-,-,-,67
-,-,-,-,-,-,-,-,-,59
-,-,-,-,-,-,-,-,-,78
-,-,-,-,-,-,-,-,-,72
-,-,-,-,-,-,-,-,-,72
-,-,-,-,-,-,-,-,-,88
-,-,-,-,-,-,-,-,-,87
-,-,-,-,-,-,-,-,-,78
-,-,-,-,-,-,-,79,-,-
-,-,-,-,-,-,-,-,-,76
-,-,-,-,-,-,-,-,-,80
-,-,-,-,-,-,-,-,-,80
-,-,-,-,-,-,-,-,-,87
-,-,-,-,-,-,-,-,-,85
-,-,-,-,-,-,-,86,-,-
-,-,-,-,-,-,-,-,-,83
-,-,-,-,-,-,-,-,-,75
-,-,-,-,-,-,-,-,-,58
-,-,-,-,-,-,-,-,-,92
-,-,-,-,-,-,-,-,-,166
-,-,-,-,-,-,-,-,-,92
-,-,-,-,-,-,-,-,-,98
-,-,-,-,-,-,-,-,-,90
-,-,-,-,-,-,-,-,-,125
-,-,-,-,-,-,-,-,-,124
-,-,-,-,-,-,-,-,-,107
-,-,-,-,-,-,-,-,-,98
-,-,-,-,-,-,-,99,-,-
-,-,-,-,-,-,-,-,-,96
