string,Identifier,bool,begin,],",",;,(,void,Function,),Integer-Number,float,[,int,statement,char,e
0,-,-,-,[1],-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,"[7, 29, 55]",-,"[9, 31, 57]",-,-,-,-,-,"[8, 30, 56]",-,-,-,"[5, 27, 53]",-,"[6, 28, 54]",-,"[10, 32, 58]",-
2,[205],-,[207],-,-,-,-,-,[206],-,-,-,[203],-,[204],-,[208],[113]
3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[2]
4,-,[13],-,-,[41],-,-,-,-,-,-,-,-,-,-,-,-,-
5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[4]
6,[67],-,[69],-,-,-,-,-,[68],-,-,-,[65],-,[66],-,[70],[4]
7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[4]
8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[4]
9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[4]
10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[4]
11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[3]
12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[18]
13,-,-,-,-,-,-,-,-,-,-,-,-,-,[15],-,-,-,[14]
14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[12]
15,-,-,-,-,-,-,-,-,-,-,-,[16],-,[152],-,-,-,-
16,-,-,-,-,[17],-,-,-,-,-,-,-,-,-,-,-,-,-
17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[14]
18,-,-,-,-,-,[19],-,-,-,-,-,-,-,-,-,-,-,[11]
19,-,[21],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[18]
21,-,-,-,-,-,-,-,-,-,-,-,-,-,[23],-,-,-,[22]
22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[20]
23,-,-,-,-,-,-,-,-,-,-,-,[24],-,-,-,-,-,-
24,-,-,-,-,[25],-,-,-,-,-,-,-,-,-,-,-,-,-
25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[22]
26,-,-,-,-,-,-,-,-,-,-,-,-,-,[33],-,-,-,-
27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[26]
28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[26]
29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[26]
30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[26]
31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[26]
32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[26]
33,-,-,-,-,[34],-,-,-,-,-,-,-,-,-,-,-,-,-
34,-,[37],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,-,-,-,-,-,-,[50],-,-,-,-,-,-,-,-,-,-,-
36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[42]
37,-,-,-,-,-,-,-,-,-,-,-,-,-,[39],-,-,-,[38]
38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[36]
39,-,-,-,-,-,-,-,-,-,-,-,[40],-,-,-,-,-,-
41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[38]
42,-,-,-,-,-,[43],-,-,-,-,-,-,-,-,-,-,-,[35]
43,-,[45],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[42]
45,-,-,-,-,-,-,-,-,-,-,-,-,-,[47],-,-,-,[46]
46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[44]
47,-,-,-,-,-,-,-,-,-,-,-,[48],-,-,-,-,-,-
48,-,-,-,-,[49],-,-,-,-,-,-,-,-,-,-,-,-,-
49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[46]
50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[3]
51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[2]
52,-,-,-,-,-,-,-,-,-,[59],-,-,-,-,-,-,-,-
53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[52]
54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[52]
55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[52]
56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[52]
57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[52]
