bool,begin,",",),],char,e,[,int,statement,Integer-Number,void,(,Function,;,Identifier,float,string
0,-,[1],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,"[9, 31, 57]",-,-,-,-,"[10, 32, 58]",-,-,"[6, 28, 54]",-,-,"[8, 30, 56]",-,-,-,-,"[5, 27, 53]","[7, 29, 55]"
2,[207],-,-,-,-,[208],-,-,[204],-,-,[206],-,-,[114],-,[203],[205]
3,[207],-,-,-,-,[208],-,-,[204],-,-,[206],-,-,[114],-,[203],[205]
4,-,-,-,-,[41],-,-,-,-,-,-,-,-,-,-,[13],-,-
5,-,-,-,-,[41],-,-,-,-,-,-,-,-,-,-,[13],-,-
6,[69],-,-,-,[41],[70],-,-,[66],-,-,[68],-,-,-,[13],[65],[67]
7,-,-,-,-,[41],-,-,-,-,-,-,-,-,-,-,[13],-,-
8,-,-,-,-,[41],-,-,-,-,-,-,-,-,-,-,[13],-,-
9,-,-,-,-,[41],-,-,-,-,-,-,-,-,-,-,[13],-,-
10,-,-,-,-,[41],-,-,-,-,-,-,-,-,-,-,[13],-,-
11,[207],-,-,-,-,[208],-,-,[204],-,-,[206],-,-,[114],-,[203],[205]
12,[207],-,[19],-,-,[208],-,-,[204],-,-,[206],-,-,[114],-,[203],[205]
13,-,-,-,-,-,-,[12],[15],-,-,-,-,-,-,-,-,-,-
14,[207],-,[19],-,-,[208],-,-,[204],-,-,[206],-,-,[114],-,[203],[205]
15,-,-,-,-,-,-,-,[152],-,-,[16],-,-,-,-,-,-,-
16,-,-,-,-,[17],-,-,-,-,-,-,-,-,-,-,-,-,-
17,[207],-,[19],-,-,[208],-,-,[204],-,-,[206],-,-,[114],-,[203],[205]
18,[207],-,[19],-,-,[208],-,-,[204],-,-,[206],-,-,[114],-,[203],[205]
19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[21],-,-
20,[207],-,[19],-,-,[208],-,-,[204],-,-,[206],-,-,[114],-,[203],[205]
21,-,-,-,-,-,-,[20],[23],-,-,-,-,-,-,-,-,-,-
22,[207],-,[19],-,-,[208],-,-,[204],-,-,[206],-,-,[114],-,[203],[205]
23,-,-,-,-,-,-,-,-,-,-,[24],-,-,-,-,-,-,-
24,-,-,-,-,[25],-,-,-,-,-,-,-,-,-,-,-,-,-
25,[207],-,[19],-,-,[208],-,-,[204],-,-,[206],-,-,[114],-,[203],[205]
26,-,-,-,-,-,-,-,[33],-,-,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,-,[33],-,-,-,-,-,-,-,-,-,-
28,-,-,-,-,-,-,-,[33],-,-,-,-,-,-,-,-,-,-
29,-,-,-,-,-,-,-,[33],-,-,-,-,-,-,-,-,-,-
30,-,-,-,-,-,-,-,[33],-,-,-,-,-,-,-,-,-,-
31,-,-,-,-,-,-,-,[33],-,-,-,-,-,-,-,-,-,-
32,-,-,-,-,-,-,-,[33],-,-,-,-,-,-,-,-,-,-
33,-,-,-,-,[34],-,-,-,-,-,-,-,-,-,-,-,-,-
34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[37],-,-
35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[50],-,-,-
36,-,-,[43],-,-,-,-,-,-,-,-,-,-,-,[50],-,-,-
37,-,-,-,-,-,-,[36],[39],-,-,-,-,-,-,-,-,-,-
38,-,-,[43],-,-,-,-,-,-,-,-,-,-,-,[50],-,-,-
39,-,-,-,-,-,-,-,-,-,-,[40],-,-,-,-,-,-,-
41,-,-,[43],-,-,-,-,-,-,-,-,-,-,-,[50],-,-,-
42,-,-,[43],-,-,-,-,-,-,-,-,-,-,-,[50],-,-,-
43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[45],-,-
44,-,-,[43],-,-,-,-,-,-,-,-,-,-,-,[50],-,-,-
45,-,-,-,-,-,-,[44],[47],-,-,-,-,-,-,-,-,-,-
46,-,-,[43],-,-,-,-,-,-,-,-,-,-,-,[50],-,-,-
47,-,-,-,-,-,-,-,-,-,-,[48],-,-,-,-,-,-,-
48,-,-,-,-,[49],-,-,-,-,-,-,-,-,-,-,-,-,-
49,-,-,[43],-,-,-,-,-,-,-,-,-,-,-,[50],-,-,-
50,[207],-,-,-,-,[208],-,-,[204],-,-,[206],-,-,[114],-,[203],[205]
