beginfloat,(,),void,;,Identifier,e,statement,[,Function,float,char,],",",int,bool,string,IntegerNumber
1,5,-,-,56,-,-,-,-,-,-,53,58,101,-,54,57,55,96
2,-,-,-,-,-,209,225,-,-,-,-,-,-,-,-,-,-,20
3,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
4,-,-,-,-,-,13,-,-,-,-,-,-,41,-,-,-,-,8
5,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-
6,-,-,-,68,-,-,4,-,-,-,65,70,-,-,66,69,67,-
7,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,6
8,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,4
9,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-
10,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-
11,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-
12,-,-,-,-,-,-,18,-,23,-,-,-,-,-,-,-,-,-
13,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-
14,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-
521,-,-,-,-,-,-,-,-,127,-,-,-,-,-,-,-,-,-
16,-,-,111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-
18,-,-,-,-,-,-,11,-,83,-,-,-,-,-,-,-,-,-
19,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-
20,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-,-,-,-
21,-,-,-,-,-,-,22,-,-,-,-,-,-,-,-,-,-,-
22,-,-,-,-,-,-,20,-,-,-,-,-,221,-,-,-,-,-
24,-,-,-,-,-,-,-,-,-,-,-,-,-,43,-,-,-,-
25,-,-,-,-,-,-,22,-,-,-,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-
28,-,-,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-
29,-,-,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-
30,-,-,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-
31,-,-,-,-,-,-,26,-,15,-,-,-,-,131,-,-,-,-
32,-,-,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-
33,-,-,-,-,-,-,-,-,-,-,-,-,34,-,-,-,-,-
34,-,-,-,-,-,37,-,-,-,-,-,-,-,-,-,-,-,-
541,-,-,-,-,-,-,-,-,-,-,-,-,146,-,-,-,-,-
36,-,-,-,-,-,-,42,-,-,-,-,-,-,-,-,-,-,-
37,-,-,-,-,-,-,38,-,75,-,-,-,-,-,-,-,-,-
38,-,-,-,-,-,-,36,-,-,-,-,-,-,-,-,-,-,-
41,-,-,-,-,-,-,38,-,-,-,-,-,-,-,-,-,-,-
42,-,-,-,-,-,-,35,-,-,-,-,-,25,-,-,-,-,-
43,-,-,-,-,-,45,-,-,-,-,-,-,-,-,-,-,-,-
44,-,-,-,-,-,-,42,-,-,-,-,-,-,-,-,-,-,-
45,-,-,-,-,-,-,46,-,-,-,-,-,-,-,-,-,-,-
46,-,-,-,-,-,-,44,-,-,-,-,-,-,-,-,-,-,-
48,-,-,-,-,-,-,-,-,-,-,-,-,85,-,-,-,-,-
49,-,-,-,-,-,-,46,-,-,-,-,-,-,-,-,-,-,-
